age_binary,age_bucketized,sex_binary,race_C,score,rank,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,is_recid,is_violent_recid,two_year_recid,Violence_score,Recidivism_score
1.0,1.0,0.0,0.0,2.238959544690792,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,-2.27,0.18
0.0,0.0,1.0,0.0,2.2388498514984483,2.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,-1.0,-3.0
1.0,0.0,0.0,0.0,2.23853144707058,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,-2.0
0.0,0.0,0.0,2.0,2.2367196249988512,4.0,3.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
1.0,1.0,0.0,0.0,2.236670169235526,5.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,1.0,-4.0,1.0
1.0,1.0,0.0,1.0,2.2365399867506763,6.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,-1.0
0.0,1.0,1.0,1.0,2.2365340726048406,7.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,-4.0,0.0
1.0,0.0,1.0,2.0,2.2354789045249124,8.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,-2.0
0.0,0.0,1.0,1.0,2.2343713319007388,9.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,2.234232130967437,10.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,-3.0,1.0
1.0,1.0,1.0,2.0,2.2338672135978443,11.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,-1.0,-1.0
1.0,1.0,0.0,2.0,2.2337787996153327,12.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,-2.0,-1.0
1.0,0.0,0.0,2.0,2.233021175906926,13.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,-2.0,-1.0
1.0,0.0,1.0,2.0,2.232789885411016,14.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,-2.0,1.0
1.0,0.0,0.0,2.0,2.232062776008976,15.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,-1.0
0.0,0.0,1.0,1.0,2.2318943034158383,16.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,-3.0,-1.0
1.0,0.0,1.0,0.0,2.2316501644602984,17.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,0.0,-4.0,-2.0
1.0,0.0,1.0,0.0,2.2316379302798373,18.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,-4.0,-2.0
0.0,0.0,0.0,0.0,2.2301155220565407,19.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
0.0,0.0,1.0,1.0,2.2300613335991044,20.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,-1.0,-2.0
1.0,0.0,1.0,2.0,2.2292971916289748,21.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1.0,0.0,0.0,1.0,2.22774841726806,22.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,1.0,2.227440340516476,23.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,1.0,-1.0,0.0
0.0,0.0,1.0,0.0,2.2270188875938084,24.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-2.0
1.0,0.0,1.0,1.0,2.22641675320747,25.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,-1.0,-1.0
1.0,0.0,1.0,2.0,2.2263152897680785,26.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,-2.0,-2.0
1.0,1.0,1.0,0.0,2.226046050538281,27.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,1.0,1.0,2.0,2.225753051246294,28.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,-3.0,-3.0
1.0,1.0,0.0,1.0,2.225700097112445,29.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,-4.0,-3.0
1.0,0.0,0.0,0.0,2.2254225059321,30.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,-3.0
1.0,1.0,0.0,0.0,2.22512827920998,31.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,-4.0,0.0
1.0,1.0,0.0,2.0,2.224931069681711,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,-1.0
0.0,1.0,1.0,1.0,2.2240420287860285,33.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,-4.0,-1.0
1.0,1.0,1.0,2.0,2.2235096005371067,34.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0
1.0,1.0,1.0,1.0,2.2230562185566654,35.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,-4.0,-2.0
1.0,0.0,1.0,2.0,2.2229303969578127,36.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,-1.0,1.0
1.0,0.0,0.0,1.0,2.2229239096574984,37.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,-1.0,0.0
1.0,1.0,1.0,2.0,2.222828383090328,38.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,-1.0,1.0
0.0,1.0,0.0,0.0,2.2226074251528196,39.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,-2.0
1.0,0.0,1.0,1.0,2.2222883965659888,40.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0,0.0,-3.0
0.0,1.0,1.0,2.0,2.2218282214004943,41.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,-1.0,-3.0
1.0,0.0,0.0,0.0,2.221342674233751,42.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,-4.0,0.0
1.0,0.0,0.0,0.0,2.2212728870198064,43.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,1.0,2.2205059466958845,44.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,-1.0,0.0
0.0,0.0,1.0,1.0,2.2192585745099924,45.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,-1.0,0.0
1.0,0.0,0.0,1.0,2.218460095578015,46.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0,-1.0
1.0,0.0,1.0,1.0,2.2178618159745658,47.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,-4.0,0.0
1.0,0.0,0.0,1.0,2.217581620739964,48.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,-3.0,-1.0
0.0,1.0,1.0,1.0,2.217019121694369,49.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,-4.0,-3.0
0.0,1.0,1.0,1.0,2.2161053920073344,50.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-4.0,-3.0
0.0,0.0,0.0,1.0,2.2159561638171716,51.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,-1.0,-3.0
1.0,1.0,1.0,1.0,2.215703267478418,52.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,-3.0,-1.0
0.0,1.0,0.0,0.0,2.2138333514193054,53.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,-2.0,1.0
1.0,1.0,0.0,2.0,2.2132933159291066,54.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0
1.0,1.0,0.0,2.0,2.2110931530835405,55.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.0,0.0
1.0,0.0,1.0,1.0,2.2107239488590715,56.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,-2.0,-1.0
1.0,1.0,1.0,2.0,2.2101028809188072,57.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,-3.0
0.0,1.0,1.0,2.0,2.2094426895520023,58.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,-1.0,-3.0
0.0,1.0,1.0,2.0,2.209343077921082,59.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,1.0,2.0,2.2089117725632925,60.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,-3.0,1.0
0.0,1.0,0.0,0.0,2.207888963197326,61.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
